Sp1	Sp2	obs.C-score	exp.C-score	SES_Cscore	pval_less	pval_greater
OTU_3	OTU_14	0	0	NA	1	1
OTU_3	OTU_15	0	0	NA	1	1
OTU_3	OTU_16	0	0	NA	1	1
OTU_3	OTU_17	0	0	NA	1	1
OTU_3	OTU_18	0	0	NA	1	1
OTU_3	OTU_19	0	0	NA	1	1
OTU_3	OTU_20	0	0	NA	1	1
OTU_3	OTU_21	0	0	NA	1	1
OTU_3	OTU_22	0	0	NA	1	1
OTU_3	OTU_23	0	0	NA	1	1
OTU_3	OTU_24	0	0	NA	1	1
OTU_3	OTU_25	0	0	NA	1	1
OTU_3	OTU_26	0	0	NA	1	1
OTU_3	OTU_27	0	0	NA	1	1
OTU_3	OTU_28	0	0	NA	1	1
OTU_3	OTU_29	0	0	NA	1	1
OTU_3	OTU_30	0	0	NA	1	1
OTU_3	OTU_31	0	0	NA	1	1
OTU_3	OTU_32	0	0	NA	1	1
OTU_3	OTU_33	0	0	NA	1	1
OTU_3	OTU_34	0	0	NA	1	1
OTU_3	OTU_35	0	0	NA	1	1
OTU_3	OTU_36	0	0	NA	1	1
OTU_3	OTU_37	0	0	NA	1	1
OTU_3	OTU_38	0	0	NA	1	1
OTU_3	OTU_39	0	0	NA	1	1
OTU_3	OTU_40	0	0	NA	1	1
OTU_3	OTU_41	0	0	NA	1	1
OTU_3	OTU_42	0	0	NA	1	1
OTU_3	OTU_43	0	0	NA	1	1
OTU_3	OTU_44	0	0	NA	1	1
OTU_3	OTU_45	0	0	NA	1	1
OTU_3	OTU_46	0	0	NA	1	1
OTU_3	OTU_47	0	0	NA	1	1
OTU_3	OTU_48	0	0	NA	1	1
OTU_3	OTU_49	0	0	NA	1	1
OTU_3	OTU_50	0	0	NA	1	1
OTU_3	OTU_51	0	0	NA	1	1
OTU_3	OTU_52	0	0	NA	1	1
OTU_3	OTU_53	0	0	NA	1	1
OTU_3	OTU_54	0	0	NA	1	1
OTU_3	OTU_55	0	0	NA	1	1
OTU_3	OTU_56	0	0	NA	1	1
OTU_3	OTU_57	0	0	NA	1	1
OTU_3	OTU_58	0	0	NA	1	1
OTU_3	OTU_59	0	0	NA	1	1
OTU_3	OTU_60	0	0	NA	1	1
OTU_3	OTU_61	0	0	NA	1	1
OTU_3	OTU_62	0	0	NA	1	1
OTU_3	OTU_63	0	0	NA	1	1
OTU_3	OTU_64	0	0	NA	1	1
OTU_3	OTU_65	0	0	NA	1	1
OTU_3	OTU_66	0	0	NA	1	1
OTU_3	OTU_67	0	0	NA	1	1
OTU_3	OTU_68	0	0	NA	1	1
OTU_3	OTU_69	0	0	NA	1	1
OTU_3	OTU_70	0	0	NA	1	1
OTU_3	OTU_71	0	0	NA	1	1
OTU_3	OTU_72	0	0	NA	1	1
OTU_3	OTU_73	0	0	NA	1	1
OTU_3	OTU_74	0	0	NA	1	1
OTU_3	OTU_75	0	0	NA	1	1
OTU_3	OTU_76	0	0	NA	1	1
OTU_3	OTU_77	0	0	NA	1	1
OTU_3	OTU_78	0	0	NA	1	1
OTU_3	OTU_79	0	0	NA	1	1
OTU_3	OTU_80	0	0	NA	1	1
OTU_3	OTU_81	0	0	NA	1	1
OTU_3	OTU_82	0	0	NA	1	1
OTU_3	OTU_83	0	0	NA	1	1
OTU_3	OTU_84	0	0	NA	1	1
OTU_3	OTU_85	0	0	NA	1	1
OTU_3	OTU_86	0	0	NA	1	1
OTU_3	OTU_87	0	0	NA	1	1
OTU_3	OTU_88	0	0	NA	1	1
OTU_3	OTU_89	0	0	NA	1	1
OTU_3	OTU_90	0	0	NA	1	1
OTU_3	OTU_91	0	0	NA	1	1
OTU_3	OTU_92	0	0	NA	1	1
OTU_3	OTU_93	0	0	NA	1	1
OTU_3	OTU_94	0	0	NA	1	1
OTU_3	OTU_95	0	0	NA	1	1
OTU_3	OTU_96	0	0	NA	1	1
OTU_3	OTU_97	0	0	NA	1	1
OTU_3	OTU_98	0	0	NA	1	1
OTU_3	OTU_99	0	0	NA	1	1
OTU_3	OTU_100	0	0	NA	1	1
OTU_3	OTU_101	0	0	NA	1	1
OTU_3	OTU_102	0	0	NA	1	1
OTU_3	OTU_103	0	0	NA	1	1
OTU_3	OTU_104	0	0	NA	1	1
OTU_3	OTU_105	0	0	NA	1	1
OTU_3	OTU_106	0	0	NA	1	1
OTU_3	OTU_107	0	0	NA	1	1
OTU_3	OTU_108	0	0	NA	1	1
OTU_3	OTU_109	0	0	NA	1	1
OTU_3	OTU_110	0	0	NA	1	1
OTU_3	OTU_111	0	0	NA	1	1
OTU_3	OTU_112	0	0	NA	1	1
OTU_3	OTU_113	0	0	NA	1	1
OTU_3	OTU_114	0	0	NA	1	1
OTU_3	OTU_115	0	0	NA	1	1
OTU_3	OTU_116	0	0	NA	1	1
OTU_3	OTU_117	0	0	NA	1	1
OTU_3	OTU_118	0	0	NA	1	1
OTU_3	OTU_119	0	0	NA	1	1
OTU_3	OTU_120	0	0	NA	1	1
OTU_3	OTU_121	0	0	NA	1	1
OTU_3	OTU_122	0	0	NA	1	1
OTU_3	OTU_123	0	0	NA	1	1
OTU_3	OTU_124	0	0	NA	1	1
OTU_3	OTU_125	0	0	NA	1	1
OTU_3	OTU_126	0	0	NA	1	1
OTU_3	OTU_127	0	0	NA	1	1
